Food_ID,Name,Calories,C_Type,Veg_Non,Describe
138,malabar fish curry,410,Indian,non-veg,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts"
139,surmai curry with lobster butter rice,450,Thai,veg,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai"
140,seared salmon in tabasco butter,380,Thai,non-veg,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt"
141,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille",600,Italian,non-veg,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt"
142,fish skewers with coriander and red wine vinegar dressing,320,Thai,non-veg,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers"
143,seafood rock filler,500,French,veg,"baked tart of mixed sea food served with phyllo fruit bowl, savory tart shell (semi baked), mixed sea food, mornay sauce, assorted herb and seasoning, phyllo pastry, assorted seasonal fruit"
144,shrimp & cilantro ceviche,280,French,veg,"prawns, gherkin, onion, cilantro, mix bell pepper, tiger milk, sweet corn, sea salt, black pepper, green lemon juice, cherry tomato, edible flower, coriander stems, celery stalks, garlic, ginger, red onion, lemon juice, sea salt, black pepper"
145,saewoo bokumbop (shrimp fried rice),420,Japanese,veg,"cooked rice, shrimp (de-veined, onion, cooked green peas, green onion, egg (scrambled), vegetable oil/butter, soy sauce, sesame oil, salt, pepper"
146,thai prawn curry & baked rice ,380,Thai,veg,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite"
147,bihari fish curry,350,Indian,non-veg,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves"
148,curry fish fingers,300,Thai,non-veg,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard"
149,prawn and litchi salad,200,Healthy Food,veg,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt"
150,kerala fish curry,420,Indian,non-veg,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water"
151,fish andlouse,550,French,non-veg,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc."
152,prawn fried rice,380,Thai,veg,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Buds, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Pepper, Sweet Corn, Vinegar, Baked Rice, Green Coriander"
153,damdama fish curry,350,Indian,non-veg,"Fish, onion, tomato, reshagi red chilli powder, cumin powder, coriander powder, coriander, cumin, salt, oil"
154,fish with white sauce,320,Italian,non-veg,"Fillet fish, oil, milk, flour, butter, salt, ground black pepper"
155,chilli fish,400,Chinese,non-veg,"For fish pieces (Boneless), Flour, Cornflour, Baking Powder, Soy Sauce, Celery, Pepper, Salt, Oil, Green Onion, Sauce:, Ginger, Garlic, Green Chili, Soy Sauce, Tomato Sauce, Chili Sauce, Cornflour"
156,fish ambultiyal,430,Indian,non-veg,"Tuna, onion, fenugreek, whole chilli, pandan leaf, salt, water, cardamom, cinnamon, coriander powder, black pepper, red chilli, curry powder, garlic (crushed), chili flakes, gorca, salt"
157,chettinad fish fry,370,Indian,non-veg,"Surmai fish, oil, garlic buds, ginger (mash), cumin, fennel, whole coriander, black pepper, mustard seeds, curry leaves, salt, oil, water, tomatoes, red pepper powder, turmeric powder, tamarind pulp, cornflour, lemon pieces of"
158,fish moilee,380,Indian,non-veg,"Basa fish, onion, ginger, garlic buds, green chillies, turmeric, red chilli powder, coriander powder, lemon juice, curry leaves, refined oil, refined oil, mustard seeds, black pepper, fennel, green cardamom, coconut milk, Cherry tomatoes"
159,batter fish,410,Mexican,non-veg,"Fresh fish pieces (river sol or sea bass), maida, passerley, oil, baking powder, maida, egg (optional), soda water, salt and pepper"
160,fish salan,420,Mexican,non-veg,"King fish, ripe tomatoes, desi ghee, ginger-garlic paste, onion, turmeric powder, red chilli powder, black pepper powder, garam masala, ginger, turmeric powder, fennel powder, refined oil, salt, water"
161,spanish fish fry,360,Mexican,non-veg,"Sol fish, tomato, onion, lemon juice, olive oil, ginger and garlic paste, bay leaves, cinnamon stick, green chillies, vinegar, salt, water"
162,prawn potato soup,280,Thai,veg,"Onion, potato, prawns, eggs, milk, butter, coriander, salt, water"
163,red rice vermicelli kheer,350,Indian,veg,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar"
164,green cucumber shots,200,Healthy Food,veg,"english cucumbers, garlic cloves (smashed), romaine lettuce, basil, parsley, cilantro, big lemon, sea salt, olive oil"
165,thai pineapple rice,380,Thai,veg,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple"
166,green asparagus risotto,420,Italian,veg,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper"
167,veg fried rice,320,Chinese,veg,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice"
168,egg and garlic fried rice,340,Chinese,non-veg,"oil, garlic, spring onion , ginger, red chilli , egg, cooked rice, salt, black pepper powder, soya sauce"
169,curd rice,270,Indian,veg,"rice, water, curd, milk, carrot, green chilli, ginger, salt, coriander leaves, oil, mustard seeds, chana dal, urad dal, curry leaves, red chilli, hing"
170,fried rice with soya chunks,370,Chinese,veg,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,"
171,corn pulao,380,Indian,veg,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (saut?ed and diced), coconut"
172,zucchini methi pulao,340,Indian,veg,"zucchini, basmati rice, fenugreek (methi), clarified butter (desi ghee), clarified butter (desi ghee), cumin seeds (jeera), asafoetida (heeng), green chilles, ginger, salt"
173,lemon rice,290,Indian,veg,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger"
174,kale channe ki biryani,450,Indian,veg,"black gram (kala chana), basmati rice (soaked for 2 hours), cinnamon, green cardamoms, cloves, ghee, black cardamoms, black peppercorns, bay leaves, onions, green chillies (slit), ginger-garlic paste, coriander powder, turmeric powder, yogurt, fresh mint leaves, fresh coriander leaves, garam masala powder, red chilli powder, salt, cashew nuts, almonds, milk, fresh cream, saffron, ginger, screw pine essence (kewra), browned onions, whole wheat flour dough"
175,chicken paella,490,Mexican,non-veg,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine"
176,thai fish curry,430,Thai,non-veg,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper"
177,vegetable pulao,340,Indian,veg,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves"
178,oats shallots pulao,350,Healthy Food,veg,"Rice, Green Coriander, Green Chillies, Onion, Cinnamon, Cardamom, Cloves, Red Chilli Powder, Salt, Garlic Flakes, Ginger, Chalet, Olive Oil"
179,shiitake fried rice with water chestnuts,420,Chinese,veg,"Shitake Mushrooms, Vegetable Oil, Garlic Buds, Green Chillies, Water chestnuts, Onions, Leaks, Celery, Ginger, Sesame Oil, Rice Baked, White Chillies, Salt, Rice Wine Vinegar, Green Onions, Small Bunch Pasarley, Sesame Oil"
180,lotus leaf wrapped fried rice,390,Chinese,veg,"Jasmine Rice (Baked), Edamame Beans, Mock Meat, Shitake Mushroom, Spring Onion, Dark Soy Sauce, Sunflower Oil, Salt"
181,vegetable biryani,420,Indian,veg,"Cumin, Onion, Ginger Garlic, Mix Vegetable, Coriander Powder, Garam Masala, Turmeric Powder, Salt, Red Chilli Powder, Green Chillies, Lemon Juice, Steamed Rice, Green Coriander"
182,avial with red rice,390,Indian,veg,"Red rice, water, potatoes, carrots, raw banana, drumstick, small raw mango, sour curd, bean stick, onion, salt, turmeric, water, coconut oil, green chillies, mustard seeds (crushed)"
183,rice in lamb stock,420,Thai,non-veg,"Rice, desi ghee, big cardamom, bay leaf, cinnamon stick, fennel, onion, lamb bonz, royal cumin, cashew, cream, green cardamom powder, salt, water"
184,vegetable bruschetta,320,Italian,veg,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese"
185,red wine braised mushroom flatbread,370,Italian,veg,"olive oil, fresh buffalo mozzarella cheese, canned pelati tomatoes (cooked), pizza/flatbread base, mushrooms, red wine, parsley, garlic cloves (halved), salt"
186,strawberry & pistachio breton tart,410,Dessert,veg,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry"
187,tricolour pizza,440,Italian,veg,"pizza base , pizza sauce, mozzarella cheese, black olive, green capsicum, carrots, olive oil"
188,instant rava dosa,350,Indian,veg,"rava/suji/semolina, rice flour, all purpose flour, fresh coconut (pieces), jeera, green chilli, dhaniya, onion (diced), salt, water, oil, ghee/clarified butter"
189,easy bread poha,270,Indian,veg,"oil, hing, mustard seeds, curry leaves, whole red chillies, cookes peas, peanuts, turmeric powder, salt, bread, green chillies, lemon juice, coriander leaves, dessicated coconut"
190,bread chana basket,380,Indian,veg,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt"
191,spaghetti with clams & crispy bread crumbs,560,Italian,veg,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper, garlic cloves, manila clams or cockles, scrubbed, dry white wine, spaghetti, lemon zest, lemon juice, mullet bottarga (optional; see note), red pepper, thyme, rosemary, parsley"
192,kasha bread,420,French,veg,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts"
193,egg paratha,360,Indian,non-veg,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala"
194,egg and cheddar cheese sandwich,280,Mexican,non-veg,"egg, salt, pepper, ham slices, basil leaves"
195,egg in a blanket,220,French,non-veg,"eggs, brown bread slices, butter, chilli flakes, oregano, salt"
196,bread dahi vada,320,Indian,veg,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana"
197,cheese and avocado parantha,390,Mexican,veg,"Wheat flour, Kasuri methi, water, olive oil, avocado, mozzarella cheese, pizza tasting, ghee, salt"
198,bread with tomatoes and olives,280,Italian,veg,"French Bread Loaf, Tomato, Extra Virgin Olive Oil, Salt, Black Pepper, Passerley, Stuffed Green Olive"
199,lemon poppy seed cake,189,Dessert,veg,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry"
200,chocolate kaju katli,275,Dessert,veg,"cashew nuts, sugar, water, milk chocolate or dark chocolate"
201,mix fruit laccha rabri tortilla crunch,320,Dessert,veg,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil"
202,pista chocolate & mandarin,380,Dessert,veg,"Pistachios, milk, sugar, broken rice, green cardamom, white chocolate, milk, egg yolks, whipped cream, vanilla pod, mandarin, sugar, water"
203,banana and chia tea cake,240,Dessert,veg,"Banana, Castor Sugar, Flour, Oil, Milk, Eggs, Baking Soda, Flax Seeds, Almond Flakes, Chia Seeds"
204,chocolate and almond rum ball ,185,Dessert,veg,"Chocolate sponge eggless, dark chocolate, single cream, almonds, castor sugar, instant coffee powder, dark rum"
205,lemon sushi cake,290,Dessert,veg,"Vanilla pre mix, gel, oil, water, egg yolks, lemon juice, sugar, butter, white chocolate, cooking cream, milk"
206,chocolate doughnut,215,Dessert,veg,"Sugar, egg yolks, egg, butter, yeast, milk"
207,spiced almond banana jaggery cake,280,Dessert,veg,"Butter, cinnamon molasses powder, nutmeg (powdered), almonds, sugar, eggs, orange peel, banana, flour, baking soda, baking powder, salt, buttermilk, powdered cinnamon"
208,fennel scented sweet banana fritters,195,Dessert,veg,"Wheat flour, banana, jaggery, milk or water, ghee or oil"
209,camel milk cake tart,330,Dessert,veg,"Camel milk, sugar, vinegar, butter, brown sugar, maida, eggs"
210,quinoa coconut crumble custard,380,Dessert,veg,"Knoia (cooked), oats, cinnamon powder, salt, brown sugar or jaggery, nuts, coconut nuts, eggs, kinoia, coconut milk, maple syrup, vanilla extract, cinnamon powder, salt, honey"
211,lamb barley pot,480,Healthy Food,non-veg,"pot barley, onions, worcestershire sauce, chilli flakes, mustard seeds, thick mutton chunks, thick neck of lamb chops, water or stock (to cover), salt, black pepper (freshly ground)"
212,al hachi chicken,365,Indian,non-veg,"shallow fried chicken, bottle gourd (boiled and sun dried), onion, garlic, whole spices:, green cardamom, black cardamom, cinnamon sticks, turmeric, deggi mirch, fennel seeds powder, dry ginger powder, coriander powder, salt, mustard oil, desi ghee"
213,berry parfait hazelnut white chocolate sable,290,Dessert,veg,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin"
214,badam papite ke kebab with pineapple salsa,240,Indian,non-veg,"Raw papaya, raw potato, almonds, salt, asafoetida, turmeric, celery, coriander, ginger, green chillies, gram flour, green coriander, oil, pineapple, onion, green chillies, green coriander, lemon juice, salt, pepper"
215,mixed vegetable soup,120,Healthy Food,veg,"Mix vegetable (tomatoes, carrots, peas and French beans), salt, cumin powder, oil, curry leaves"
216,duo of chocolate and strawberry,175,Dessert,veg,"dark chocolate, white chocolate, strawberries"
217,mustard-parmesan whole roasted cauliflower,190,Healthy Food,veg,"cauliflowers, garlic, halved, olive oil , dijon mustard , kosher salt , freshly ground black pepper , fresh parsley leaves, parmesan , lemon wedges"
218,hassel back sweet potatoes,250,Healthy Food,veg,"sweet potatoes, butter, brown sugar, pure vanilla extract, ground cinnamon, himalayan pink salt / rock salt"
219,mother christmas cake,380,Dessert,veg,"tart apples (2 large), sugar, apple juice, eggs, vegetable oil, vanilla extracts, all-purpose flour, apple pie spice (cinnamon), salt, pecans, candied red cherries (halved), candied green cherried (halved), candied pineapple (diced), cashews (optional)"
220,matcha tea macarons,320,Dessert,veg,"egg whites, breakfast sugar, icing sugar, almond powder, matcha powder, heavy cream, white chocolate"
221,"amaranthus granola with lemon yogurt, berries and marigold",350,Healthy Food,veg,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries"
222,chocolate fudge cookies,200,Dessert,veg,"dark chocolate coverture, butter, sugar, eggs, flour, baking powder, salt, cocoa powder, vanilla essence"
223,veg summer rolls,180,Thai,veg,"rice paper sheets, iceberg lettuce, carrot, bean sprouts, cucumber, tofu, basil, mint leaves, coriander, rice noodles (soaked in warm water for 20-25 minutes), peanuts, hoisin sauce, peanuts, garlic, oil, red chillies, water"
224,eggless vanilla cake,250,Dessert,veg,"maida, baking powder, castor sugar, butter, milk, vanilla essence, vinegar"
225,sweet potato pie,300,Dessert,veg,"yams (red skinned), condensed milk, sugar, egg , cinnamon , marshmallows ,"
226,wok tossed asparagus in mild garlic sauce,120,Healthy Food,veg,"asparagus, 1 fried onion (medium), 1/2 tsp breakfast sugar, 10 ml potato starch, 20 ml stock vegetarian, 20 gm porcini, salt to taste, 50 ml oil"
227,cinnamon oatmeal pancakes,220,Healthy Food,veg,"rolled oats, buttermilk (divided), whole wheat flour or oat flour, baking powder, baking soda, cinnamon, salt, eggs, canola oil , honey or maple syrup,"
228,chocolate chip cheesecake,350,Dessert,veg,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips"
229,chocolate lava cake,280,Dessert,veg,"dark chocolate, butter, icing sugar, egg yolks + whole eggs, flour"
230,eggless coffee cupcakes,180,Dessert,veg,"maida/ flour, baking powder, sugar, cocoa powder, vanilla essence, butter (softened, salted. in case you are using unsalted butter, add 1/4 tsp salt), milk (to make the batter smooth. adjust the milk quantity according to your batter's smoothness), coffee powder + 1 tsp water, to make a paste (you can increase or decrease according to your coffee tolerance)"
231,chicken in white wine,300,Italian,non-veg,"black pepper, plain flour, olive or sunflower oil, rashers lean bacon, onions or shallots (cut in half), mushrooms, butter, boneless and skinless chicken breasts (chopped into 3cm pieces), dry white wine, chicken or vegetable stock, garlic cloves, bay leaves, fresh thyme sprigs (washed or 1/2 tsp dried thyme)"
232,apple and walnut cake,230,Dessert,veg,"Apple, Eggs, Walnuts, Sugar, Walnuts, Oil, Flour, Baking Powder, Cinnamon Powder"
233,gluten free almond cake,220,Healthy Food,veg,"Almond Powder, Egg, Honey, Baking Soda, Vanilla Essence, Salt, Honey, Almond"
234,cinnamon star cookies,180,Dessert,veg,"Butter, Castor Sugar, Christmas Mix Spicy, Cinnamon Powder, Honey, Glucose, Cream, Poultry Flour, Baking Soda, Bread Flour"
235,whole wheat cake,250,Healthy Food,veg,"Oven temperature, wheat flour, jaggery sugar, baking powder, oil, eggs, water, almond essence, walnuts"
236,plum cake,320,Dessert,veg,"oven temp: 150 c-300 f, butter, sugar, eggs, almonds, vanilla essence, mixed fruits (sultanas, raisins, candied peels and cherries), refined flour,"
237,double chocolate easter cookies,200,Dessert,veg,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems"
238,holi special malai kofta,380,Indian,veg,"potatoes, paneer (cottage cheese), maida, coriander leaves (chopped), onion, ginger-garlic paste, tomatoes, malai or cream, raisins and cashew nuts, cashew nuts paste, haldi, red chilli powder, kitchen king masala, kasuri methi (dry fenugreek), salt, sugar"
239,homemade gulab jamun,300,Dessert,veg,"sugar, water, milk, cardamom seeds, saffron, cardamom powder, khoya, baking soda, maida, milk"
240,lamb rogan josh,400,French,non-veg,"lamb chops or stewing lamb, vegetable oil, cassia bark or cinnamon stick, bay leaves, green cardamoms, onions, garlic cloves, butter, turmeric, chilli powder, ground cumin, ground coriander, tomato puree, salt, garam masala, lemon juice"
241,fish curry,350,Thai,non-veg,"fresh sole fish, black pepper powder, lemon (juiced), onion, coriander seeds, black pepper, raw rice, garlic cloves, coconut, coriander leaves, ginger (large), cinnamon powder, clove powder, ground nut oil, tamarind paste, cooking oil, salt,"
242,rice kheer,300,Indian,veg,"milk, rice (washed), sugar, raisins, green cardamoms, almonds (shredded)"
243,assorted rice kheer sushi,280,Japanese,veg,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate"
244,jalebi with fennel yogurt pudding,320,Dessert,veg,"all purpose flour, yogurt, oil, sugar, water, saffron, green cardamom, yogurt (strained), milk (warm), sugar, nutmeg, cardamom powder"
245,broccoli souffle,280,Italian,veg,"broccoli, butter, extra virgin olive oil, all-purpose flour, low fat milk, salt, black pepper, cheddar cheese, eggs (separated), egg whites, cream of tarter"
246,christmas dry fruit cake,360,Dessert,veg,"butter (at room temperature), dark brown sugar, eggs, flour, salt, all spice powder, cinnamon, nutmeg, currants; golden raisins; dark raisins (each), soft dried figs, dates (pitted), prunes (stoned dried), apricots (dried), almonds (chopped), brandy, instant espresso (mixed with 1 tbsp water)"
247,microwave chicken steak,250,Healthy Food,non-veg,"chicken breasts (boneless), eggs (slightly whisked), ginger paste, garlic paste, onions, coriander leaves, green chillies, black pepper powder, flour, vinegar, salt, oil"
248,cheese and ham roll,220,Snack,veg,"hung curd, butter, cream, ground pimento, lemon juice, vodka, salt and pepper, asparagus spears(cooked), ham, pineapple slices"
249,vegetable manchurian,280,Chinese,veg,"mixed vegetables - chopped fine or grated, eggs (slightly beaten), refined flour, garlic paste, ginger paste, water, oil , garlic , onions , capsicum, cornflour (blended with water), vinegar, salt, soya sauce, tomato puree, celery, ajinomoto (optional), water"
250,jerk chicken,320,Indian,non-veg,"chicken legs, lime (halved), jerk seasoning powder (bottled), jerk seasoning paste (bottled), olive oil"
251,lemon poppy seed cake ,280,Dessert,veg,"Flour, Baking Powder, Salt, Castor Sugar, Baking Soda, Eggs, Butter, Vanilla Essence, Lemon Juice, Poppy, Lemon Peel, Lemon Syrup, Wiped Cream, Fresh Berry"
252,steam bunny chicken bao ,300,Japanese,non-veg,"Buns, Flour, Dry Yeast, Sugar, Salt, Hot Water, Chicken Mince, Eggs, Soy Sauce, Sugar, Sesame Oil, Worcestershire Sauce, Chives, Aromat Powder"
253,double chocolate easter cookies ,230,Dessert,veg,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems"
254,orange quinoa sevaiyan,270,Healthy Food,veg,"sevaiyan, quinoa, orange juice , dried figs, sugar, almond milk, desi ghee, jaggery, walnuts, melon seeds, peanuts"
255,spicy creamy kadai chicken,350,Indian,non-veg,"chicken, ginger-garlic paste, pepper powder, lime juice, oil, salt, tomatoes, green chillies, ginger-garlic paste, chilli powder, black cardamoms, cloves, water, onion, ginger, green chillies, chilli powder, turmeric powder, garam masala, kasturi methi, cream"
256,apple kheer,280,Dessert,veg,"apples, basmati rice, nuscovado sugar (you can also use normal sugar), cashew nuts and almonds, cassia bark or cinnamon stick, red grapes"
257,ragi oats ladoo (laddu),190,Dessert,veg,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts"
258,lamb korma,400,Indian,non-veg,"onions, almond paste, ghee, cinnamon sticks, green cardamom, cloves, mace, bay leaves, garlic paste, ginger paste, lamb, salt, rose water (infused with 4-5 strands of saffron), yellow chilli powder, yogurt, yellow chilli powder, black pepper powder, coriander seed powder, cumin powder, red chilli powder, turmeric powder, clove powder, green cardamom powder, rose petal powder, nutmeg powder, black cardamom powder, fennel powder, cinnamon powder, mace powder, onions, cream/malai"
259,ragi coconut ladoo (laddu),220,Dessert,veg,"finger millet flour (ragi), jaggery, peanuts, coconut, salt"
260,quick chicken curry,300,Indian,non-veg,"Chicken, onion paste, tomato, garlic paste, ginger paste, coriander powder, cumin powder, turmeric powder, red chilli powder, garam masala powder, oil, salt, green coriander"
261,chicken shaami kebab,280,Indian,non-veg,"Chana Dal, Chicken Thai, Salt, Whole Red Chillies, Cumin, Whole Coriander, Cloves, Pepper Whole, Cinnamon Stick, Celery, Eggs, Green Coriander, Mint, Green Chillies, Ginger, Garlic Buds, Oil"
262,chicken masala,320,Indian,non-veg,"Chicken, ginger, garlic, onion, tomato, garam masala, bay leaves, salt, turmeric, coriander powder, red chilli powder, oil, green coriander, cream"
263,holi special bhang pakode,220,Indian,veg,"besan, potato, fresh bhang leaves, spinach, bhang seed powder, ajwain, fresh green chilly , salt, tamarind paste, red chilly powder, mustard seeds, whole red chilli, soda"
264,kuttu atta pizza,250,Italian,veg,"kuttu atta, salt, sugar, yeast, mozzarella cheese fresh, tomato, basil, cottage cheese, green chillies, olive oil, salt, black pepper (crushed), oregano"
265,arbi kofta with mint yogurt dip,190,Snack,veg,"arbi/colocasia roots, water chestnut flour (kuttu ka aata), green chili, ginger, carom seeds, rock salt, oil, mint, curd, cucumber, pomegranate"
266,puffed rice squares,160,Snack,veg,"puffed rice, nuts, honey, jaggery, butter, kewda to flavor, cardamom powder"
267,red velvet banana pudding,380,Dessert,veg,"one can of sweetened condensed milk, ice cold water, instant vanilla pudding mix, cream cheese (softened and cut into 8 pieces), heavy cream, one 9 x 13 inch layer of red velvet cakcake, ripe bananas, mini chocolate chips, sugar, cocoa, cake flour, baking soda, salt, butter (room temp cut into 1 inch pieces), eggs, milk, sour cream, cider vinegar, vanilla extract, red food coloring, all-purpose flour, milk, unsalted butter (room temperature), sugar, vanilla extract"
268,baked wild berry cheesecake,300,Dessert,veg,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar"
269,spiced orange valencia cake,260,Dessert,veg,"egg whites, egg white powder, sugar, almond powder, hazelnut powder, sugar, hazelnut (toasted)"
270,jalapeno cheese fingers,230,Mexican,veg,"yellow cornmeal, sugar, baking soda, salt, buttermilk (well-shaken), egg, cheddar (extra sharp), scallion (white and pale green parts only), pickled jalapenos (drained), unsalted butter,"
271,californian breakfast benedict,180,Snack,veg,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce"
272,chocolate marquise,350,Dessert,veg,"dark chocolate (melted), castor sugar, egg yolk, egg, cocoa powder, coffee, cream, berries, dark chocolate, fresh cream"
273,corn & jalapeno poppers,200,Mexican,veg,"fresh corn kernels, corn flour, whole egg, cheddar cheese, jalapeno poppers, smoked paprika, coriander (toasted & ground), green onions, fresh cilantro, lemon (zest and juice), cooking oil"
274,banana phirni tartlets with fresh strawberries,240,Snack,veg,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water"
275,mexican pizza,300,Mexican,veg,"Dough tortia, refried beans, bell paper, spring onion, lettuce, mozzarella cheese, orange cheddar cheese, chitpole dressing, for pico de chelo, tomato, onion, lemon juice, salt, green chilli, coriander, black beans (boiled ), Tomato, onion, vine paper, vegetable oil"
276,apple and pear cake,320,Healthy Food,veg,"Core, Chopped and Sliced ??Apple, Core, Chopped and Sliced ??Pears, Castor Sugar, Vanilla Essence, Sunflower Oil, Eggs, Flour, Milk, Baking Powder, Milk, Cinnamon Stick, Egg yolks, Castor Sugar"
277,microwave chocolate cake,280,Dessert,veg,"Flour, castor or powdered sugar, oil, butter or margarine, cocoa powder, water, vanilla essence, baking soda, baking powder, salt, egg"
